"","Package","Downloads"
"296","STAT",1094
"297","nasaweather",1967
"298","controlTest",661
"299","SECP",481
"300","zalpha",463
"301","sdprisk",559
"302","hbmem",763
"303","ReIns",803
"304","SmartMeterAnalytics",352
"305","dccvalidator",508
"306","icapca",753
"307","dMod",708
"308","hdrcde",6889
"309","shinythemes",36254
"310","rdpower",831
"311","extlasso",756
"312","plotprotein",485
"313","xplorerr",3428
"314","NBDesign",482
"315","hackeRnews",446
"316","revtools",652
"317","powerlmm",636
"318","RJafroc",481
"319","raincin",263
"320","vec2dtransf",585
"321","oce",2892
"322","gimms",779
"323","DrImpute",696
"324","rmcfs",785
"325","MABOUST",354
"326","MetProc",555
"327","khroma",828
"328","restaurant",584
"329","predictrace",496
"330","mboost",6248
"331","GPArotation",22657
"332","dixon",641
"333","DALY",855
"334","Oarray",749
"335","fdq",543
"336","goodpractice",1306
"337","tfruns",32629
"338","xptr",798
"339","guardianapi",508
"340","finetune",248
"341","gofCopula",695
"342","tidycat",302
"343","PPtree",499
"344","coloc",770
"345","SCORER2",641
"346","modelr",509290
"347","treeheatr",507
"348","highDmean",427
"349","EloOptimized",521
"350","slackr",2199
"351","fplyr",489
"352","pBrackets",937
"353","ltmle",631
"354","EpiEstim",4243
"355","caret",185543
"356","foodingraph",493
"357","matchingR",793
"358","exactextractr",5919
"359","LogitNet",733
"360","IPDFileCheck",708
"361","TeachNet",648
"362","pmsampsize",697
"363","webchem",1065
"364","nipnTK",53
"365","paleobioDB",701
"366","depcoeff",480
"367","testforDEP",522
"368","ehaGoF",750
"369","ecoval",949
"370","tidyvpc",424
"371","comat",659
"372","vines",703
"373","CityWaterBalance",663
"374","bsem",425
"375","rppo",361
"376","AHM",581
"377","ffscrapr",624
"378","fy",646
"379","vegperiod",497
"380","gen5helper",472
"381","FuzzyNumbers.Ext.2",608
"382","ltsbase",599
"383","sklarsomega",299
"384","svdvisual",479
"385","kerdiest",792
"386","rt3",466
"387","RM.weights",609
"388","spatsoc",617
"389","wflo",405
"390","hexView",3748
"391","MatchThem",596
"392","Synth",1955
"393","MRReg",367
"394","gretel",464
"395","mdatools",1399
"396","OasisR",402
"397","pre",1802
"398","NEpiC",474
"399","OptimalTiming",491
"400","readMLData",527
"401","mbir",636
"402","runstats",498
"403","LPsmooth",403
"404","padr",38756
"405","adept",625
"406","gdiff",306
"407","stringb",536
"408","pGLS",482
"409","biosignalEMG",732
"410","roundhouse",493
"411","RcmdrPlugin.IPSUR",1008
"412","cubature",29934
"413","CDLasso",822
"414","anocva",809
"415","GGIR",1738
"416","arctools",138
"417","stochprofML",506
"418","censNID",766
"419","historydata",772
"420","dint",891
"421","isocir",629
"422","transmem",270
"423","pysd2r",404
"424","MDFS",663
"425","mefa",1508
"426","condTruncMVN",386
"427","JOUSBoost",708
"428","testequavar",607
"429","terrainmeshr",1944
"430","extremeStat",773
"431","nse2r",517
"432","MVisAGe",501
"433","switchr",959
"434","gamair",2638
"435","LexisPlotR",743
"436","UStatBookABSC",478
"437","RankResponse",635
"438","LCAvarsel",671
"439","kuiper.2samp",626
"440","AeRobiology",654
"441","distr",3972
"442","isotonic.pen",593
"443","compareGroups",2438
"444","NRejections",371
"445","SimpleTable",530
"446","rootSolve",51432
"447","janitor",67392
"448","stablelearner",504
"449","normtest",4814
"450","lmm",976
"451","ClustBlock",907
"452","celestial",1138
"453","events",842
"454","naaccr",455
"455","SingleCaseES",531
"456","spacetime",17543
"457","DDRTree",2395
"458","corporaexplorer",871
"459","cfma",658
"460","nltm",406
"461","snipEM",526
"462","frontiles",680
"463","SNPMClust",496
"464","bcmaps",674
"465","nlrr",472
"466","jose",30651
"467","endogenous",584
"468","SAutomata",522
"469","sessioninfo",217141
"470","florestal",498
"471","PortRisk",648
"472","bayesmix",976
"473","rChoiceDialogs",678
"474","patchwork",55273
"475","semds",671
"476","pzfx",539
"477","MSRDT",271
"478","xml2relational",275
"479","gam",20511
"480","rLiDAR",632
"481","perturbR",495
"482","txtq",2037
"483","SuessR",589
"484","tigerstats",4568
"485","USgrid",569
"486","MDSMap",806
"487","ICD10gm",591
"488","phyloTop",639
"489","ArgumentCheck",946
"490","NSM3",1450
"491","ada",33842
"492","nsarfima",708
"493","tidyqwi",437
"494","saeME",711
"495","GPCMlasso",652
"496","alphaOutlier",796
"497","evtree",3115
"498","rmapzen",582
"499","rmsfact",1481
"500","GEEaSPU",594
"501","frm",1011
"502","zTree",784
"503","AdapEnetClass",813
"504","Comp2ROC",662
"505","BinarybalancedCut",685
"506","bivariate",1076
"507","prozor",544
"508","SvyNom",524
"509","colorBlindness",467
"510","htmltidy",732
"511","GetLattesData",668
"512","shiny",314063
"513","bigtcr",821
"514","bunchr",681
"515","DTWBI",541
"516","BNPMIXcluster",449
"517","rnrfa",810
"518","tvem",147
"519","dynwrap",530
"520","palaeoSig",467
"521","gomms",725
"522","survJamda",566
"523","unitizer",2551
"524","survtmle",544
"525","lmomRFA",1183
"526","mapedit",3221
"527","autoencoder",994
"528","String2AdjMatrix",389
"529","JGEE",583
"530","pscore",480
"531","CamelUp",635
"532","prettyGraphs",1695
"533","sirt",3078
"534","RobRex",551
"535","guaguas",291
"536","gamlss.cens",829
"537","rt",437
"538","scPDSI",521
"539","mirtCAT",2566
"540","dummy",1330
"541","glrt",616
"542","neuroim",613
"543","albatross",503
"544","sommer",1519
"545","DSsim",756
"546","endoSwitch",385
"547","minimax",886
"548","kdevine",639
